🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight investor positive_rate=0.834 (sample=500)
♻️ Warm-start loaded from: outputs/final_mega.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=investor
[Step 065] user:investor loss: 4.873 grad:13.264 pred: 3.013 reward: 10.00 eps:0.20 exploit regret:    - hn:0.816 hc:0.95 | source_fox_business | Analytical Deep Dive | NYC luxury buyers reportedly flooding Miami Be
[Step 066] user:investor loss: 6.176 grad:16.882 pred: 3.005 reward: 10.00 eps:0.20 exploit regret:    - hn:0.815 hc:0.95 | source_forbes | Analytical Deep Dive | A Tale Of Two Cities In Venture Capital - Forb
[Step 067] user:investor loss: 8.781 grad:17.934 pred: 3.004 reward: -4.73 eps:0.20 exploit regret:    - hn:0.815 hc:0.95 | technical.ly | Analytical Deep Dive | US government’s expiring ‘seed fund’ sends mil
[Step 068] user:investor loss: 8.024 grad:15.540 pred: 2.948 reward: -4.95 eps:0.20 exploit regret:    - hn:0.810 hc:0.95 | source_reuters | Analytical Deep Dive | US Justice Department's misconduct complaint a
[Step 069] user:investor loss: 7.672 grad:13.057 pred: 2.901 reward: -5.30 eps:0.20 exploit regret:    - hn:0.806 hc:0.95 | source_times_of_india | Hype Beast | Rise of smart skincare at home: How AI, lasers
[Step 070] user:investor loss: 2.079 grad: 5.209 pred: 2.803 reward:  7.55 eps:0.20 explore regret: 2.45 hn:0.797 hc:0.94 | source_east_asia_forum | Analytical Deep Dive | Unlocking sustainable mobility in Metro Manila
[Step 071] user:investor loss: 6.810 grad:10.414 pred: 2.828 reward: -4.91 eps:0.20 exploit regret:    - hn:0.799 hc:0.94 | source_los_angeles_daily_news | Analytical Deep Dive | Why tiny homes will remain part of California’
[Step 072] user:investor loss: 4.261 grad: 6.361 pred: 2.780 reward: 10.00 eps:0.35 exploit regret:    - hn:0.795 hc:0.94 | source_nk_news | Analytical Deep Dive | Book review: A deep dive into the obscure worl
[Step 073] user:investor loss: 2.267 grad: 4.886 pred: 2.746 reward:  7.21 eps:0.20 exploit regret:    - hn:0.791 hc:0.94 | source_the_new_york_times | Analytical Deep Dive | How Detroit Became the World Capital of Starin
[Step 074] user:investor loss: 2.904 grad: 4.432 pred: 2.698 reward:  7.81 eps:0.19 exploit regret:    - hn:0.787 hc:0.94 | source_the_guardian | Analytical Deep Dive | Dead Man’s Wire review – Gus Van Sant calls th
[Step 075] user:investor loss: 2.429 grad: 4.937 pred: 2.710 reward:  7.72 eps:0.19 explore regret:    - hn:0.788 hc:0.94 | source_nature | Analytical Deep Dive | Engineering biology applications for environme
[Step 076] user:investor loss: 3.167 grad: 4.464 pred: 2.714 reward: 10.00 eps:0.19 exploit regret:    - hn:0.788 hc:0.94 | source_harper_s_bazaar_australia | Analytical Deep Dive | Prescription Glasses Are Fashion’s Latest ‘It’
[Step 077] user:investor loss: 3.689 grad: 4.602 pred: 2.720 reward: 10.00 eps:0.19 exploit regret:    - hn:0.789 hc:0.94 | source_brand_spur | Analytical Deep Dive | FoodCo Sees January Spending Shift As Nigerian
[Step 078] user:investor loss: 2.386 grad: 4.890 pred: 2.719 reward:  7.84 eps:0.19 explore regret:    - hn:0.789 hc:0.94 | source_the_economic_times | Analytical Deep Dive | ISRO’s PSLV-C61 EOS-09 launch aborted midway; 
[Step 079] user:investor loss: 6.668 grad:10.759 pred: 2.805 reward: -4.83 eps:0.19 explore regret:    - hn:0.797 hc:0.94 | startups.co.uk | Analytical Deep Dive | 7 social media trends to get your business not
[Step 080] user:investor loss: 2.195 grad: 4.952 pred: 2.758 reward:  7.59 eps:0.19 exploit regret: 2.41 hn:0.793 hc:0.94 | dailymail.co.uk | Analytical Deep Dive | Ed Sheeran's plan to knock two Suffolk cottage
[Step 081] user:investor loss: 2.142 grad: 4.962 pred: 2.770 reward:  7.75 eps:0.19 exploit regret:    - hn:0.794 hc:0.94 | source_the_verge | Analytical Deep Dive | The influencer lawsuit that could change the i
[Step 082] user:investor loss: 2.489 grad: 4.968 pred: 2.819 reward:  7.68 eps:0.19 exploit regret:    - hn:0.799 hc:0.94 | source_abdul_latif_jameel | Analytical Deep Dive | Abdul Latif Jameel Motors announces conclusion
[Step 083] user:investor loss: 1.872 grad: 4.853 pred: 2.819 reward:  7.57 eps:0.19 exploit regret:    - hn:0.799 hc:0.94 | source_the_detroit_news | Analytical Deep Dive | 'Last Breath' review: Diving drama runs out of
[Step 084] user:investor loss: 3.885 grad: 8.075 pred: 2.866 reward: 10.00 eps:0.19 exploit regret:    - hn:0.803 hc:0.95 | source_world_bank | Analytical Deep Dive | From Gridlock to Guidebook: Transformative Ins
[Step 085] user:investor loss: 1.757 grad: 4.803 pred: 2.844 reward:  7.96 eps:0.19 exploit regret:    - hn:0.801 hc:0.94 | source_techradar | Analytical Deep Dive | Good day for Kirby Air Riders fans, all-new co
[Step 086] user:investor loss: 2.189 grad: 5.670 pred: 2.918 reward:  7.53 eps:0.19 exploit regret:    - hn:0.808 hc:0.95 | source_frontiers | Analytical Deep Dive | Consumers' Perception of Urban Farming—An Expl
[Step 087] user:investor loss: 3.941 grad: 8.929 pred: 2.902 reward: 10.00 eps:0.18 exploit regret:    - hn:0.806 hc:0.95 | androidauthority.com | Analytical Deep Dive | The Galaxy S26 Plus and S26 Ultra have nothing
[Step 088] user:investor loss: 1.223 grad: 4.271 pred: 2.969 reward:  7.45 eps:0.18 exploit regret:    - hn:0.812 hc:0.95 | source_testingcatalog | Analytical Deep Dive | Early access to SearchGPT: OpenAI’s AI-powered
